Area,Age,Year at 30 June,Sex,Value,Flags
"Gisborne region","85 Years and over","2013","Female",460,
"Gisborne region","85 Years and over","2014","Female",470,
"Gisborne region","85 Years and over","2015","Female",480,
"Hawke's Bay region","85 Years and over","2006","Male",810,
"Hawke's Bay region","85 Years and over","2007","Male",850,
"Hawke's Bay region","85 Years and over","2008","Male",890,
"Hawke's Bay region","85 Years and over","2009","Male",920,
"Hawke's Bay region","85 Years and over","2010","Male",980,
"Hawke's Bay region","85 Years and over","2011","Male",1040,
"Hawke's Bay region","85 Years and over","2012","Male",1090,
"Hawke's Bay region","85 Years and over","2013","Male",1150,
"Hawke's Bay region","85 Years and over","2014","Male",1240,
"Hawke's Bay region","85 Years and over","2015","Male",1270,
"Hawke's Bay region","85 Years and over","2006","Female",1650,
"Hawke's Bay region","85 Years and over","2007","Female",1720,
"Hawke's Bay region","85 Years and over","2008","Female",1800,
"Hawke's Bay region","85 Years and over","2009","Female",1880,
"Hawke's Bay region","85 Years and over","2010","Female",1950,
"Hawke's Bay region","85 Years and over","2011","Female",2000,
"Hawke's Bay region","85 Years and over","2012","Female",2030,
"Hawke's Bay region","85 Years and over","2013","Female",2060,
"Hawke's Bay region","85 Years and over","2014","Female",2090,
"Hawke's Bay region","85 Years and over","2015","Female",2080,
"Taranaki region","85 Years and over","2006","Male",600,
"Taranaki region","85 Years and over","2007","Male",640,
"Taranaki region","85 Years and over","2008","Male",660,
"Taranaki region","85 Years and over","2009","Male",690,
"Taranaki region","85 Years and over","2010","Male",740,
"Taranaki region","85 Years and over","2011","Male",770,
"Taranaki region","85 Years and over","2012","Male",810,
"Taranaki region","85 Years and over","2013","Male",850,
"Taranaki region","85 Years and over","2014","Male",910,
"Taranaki region","85 Years and over","2015","Male",950,
"Taranaki region","85 Years and over","2006","Female",1230,
"Taranaki region","85 Years and over","2007","Female",1270,
"Taranaki region","85 Years and over","2008","Female",1340,
"Taranaki region","85 Years and over","2009","Female",1400,
"Taranaki region","85 Years and over","2010","Female",1470,
"Taranaki region","85 Years and over","2011","Female",1500,
"Taranaki region","85 Years and over","2012","Female",1550,
"Taranaki region","85 Years and over","2013","Female",1560,
"Taranaki region","85 Years and over","2014","Female",1620,
"Taranaki region","85 Years and over","2015","Female",1640,
"Manawatu-Wanganui region","85 Years and over","2006","Male",1160,
"Manawatu-Wanganui region","85 Years and over","2007","Male",1230,
"Manawatu-Wanganui region","85 Years and over","2008","Male",1320,
"Manawatu-Wanganui region","85 Years and over","2009","Male",1390,
"Manawatu-Wanganui region","85 Years and over","2010","Male",1480,
"Manawatu-Wanganui region","85 Years and over","2011","Male",1550,
"Manawatu-Wanganui region","85 Years and over","2012","Male",1640,
"Manawatu-Wanganui region","85 Years and over","2013","Male",1700,
"Manawatu-Wanganui region","85 Years and over","2014","Male",1790,
"Manawatu-Wanganui region","85 Years and over","2015","Male",1860,
"Manawatu-Wanganui region","85 Years and over","2006","Female",2580,
"Manawatu-Wanganui region","85 Years and over","2007","Female",2620,
"Manawatu-Wanganui region","85 Years and over","2008","Female",2670,
"Manawatu-Wanganui region","85 Years and over","2009","Female",2760,
"Manawatu-Wanganui region","85 Years and over","2010","Female",2870,
"Manawatu-Wanganui region","85 Years and over","2011","Female",2960,
"Manawatu-Wanganui region","85 Years and over","2012","Female",3030,
"Manawatu-Wanganui region","85 Years and over","2013","Female",3070,
"Manawatu-Wanganui region","85 Years and over","2014","Female",3100,
"Manawatu-Wanganui region","85 Years and over","2015","Female",3160,
"Otago region","85 Years and over","2006","Male",940,
"Otago region","85 Years and over","2007","Male",1010,
"Otago region","85 Years and over","2008","Male",1100,
"Otago region","85 Years and over","2009","Male",1160,
"Otago region","85 Years and over","2010","Male",1230,
"Otago region","85 Years and over","2011","Male",1310,
"Otago region","85 Years and over","2012","Male",1380,
"Otago region","85 Years and over","2013","Male",1430,
"Otago region","85 Years and over","2014","Male",1530,
"Otago region","85 Years and over","2015","Male",1570,
"Otago region","85 Years and over","2006","Female",2320,
"Otago region","85 Years and over","2007","Female",2360,
"Otago region","85 Years and over","2008","Female",2440,
"Otago region","85 Years and over","2009","Female",2460,
"Otago region","85 Years and over","2010","Female",2500,
"Otago region","85 Years and over","2011","Female",2600,
"Otago region","85 Years and over","2012","Female",2640,
"Otago region","85 Years and over","2013","Female",2650,
"Otago region","85 Years and over","2014","Female",2700,
"Otago region","85 Years and over","2015","Female",2760,
"Southland region","85 Years and over","2006","Male",420,
"Southland region","85 Years and over","2007","Male",450,
"Southland region","85 Years and over","2008","Male",480,
"Southland region","85 Years and over","2009","Male",500,
"Southland region","85 Years and over","2010","Male",540,
"Southland region","85 Years and over","2011","Male",570,
"Southland region","85 Years and over","2012","Male",600,
"Southland region","85 Years and over","2013","Male",640,
"Southland region","85 Years and over","2014","Male",670,
"Southland region","85 Years and over","2015","Male",730,
"Southland region","85 Years and over","2006","Female",1070,
"Southland region","85 Years and over","2007","Female",1100,
"Southland region","85 Years and over","2008","Female",1120,
"Southland region","85 Years and over","2009","Female",1140,
"Southland region","85 Years and over","2010","Female",1180,
"Southland region","85 Years and over","2011","Female",1190,
"Southland region","85 Years and over","2012","Female",1170,
"Southland region","85 Years and over","2013","Female",1170,
"Southland region","85 Years and over","2014","Female",1210,
"Southland region","85 Years and over","2015","Female",1250,
"Wellington region","0-4 Years","2006","Male",16090,
"Wellington region","0-4 Years","2007","Male",16350,
"Wellington region","0-4 Years","2008","Male",16520,
"Wellington region","0-4 Years","2009","Male",16770,
"Wellington region","0-4 Years","2010","Male",17060,
"Wellington region","0-4 Years","2011","Male",17190,
"Wellington region","0-4 Years","2012","Male",16950,
"Wellington region","0-4 Years","2013","Male",16700,
"Wellington region","0-4 Years","2014","Male",16350,
"Wellington region","0-4 Years","2015","Male",15980,
"Wellington region","0-4 Years","2006","Female",15540,
"Wellington region","0-4 Years","2007","Female",15730,
"Wellington region","0-4 Years","2008","Female",16030,
"Wellington region","0-4 Years","2009","Female",16300,
"Wellington region","0-4 Years","2010","Female",16580,
"Wellington region","0-4 Years","2011","Female",16650,
"Wellington region","0-4 Years","2012","Female",16480,
"Wellington region","0-4 Years","2013","Female",16070,
"Wellington region","0-4 Years","2014","Female",15650,
"Wellington region","0-4 Years","2015","Female",15230,
"Tasman region","0-4 Years","2006","Male",1450,
"Tasman region","0-4 Years","2007","Male",1470,
"Tasman region","0-4 Years","2008","Male",1510,
"Tasman region","0-4 Years","2009","Male",1480,
"Tasman region","0-4 Years","2010","Male",1480,
"Tasman region","0-4 Years","2011","Male",1500,
"Tasman region","0-4 Years","2012","Male",1500,
"Tasman region","0-4 Years","2013","Male",1480,
"Tasman region","0-4 Years","2014","Male",1400,
"Tasman region","0-4 Years","2015","Male",1310,
"Tasman region","0-4 Years","2006","Female",1520,
"Tasman region","0-4 Years","2007","Female",1520,
"Tasman region","0-4 Years","2008","Female",1510,
"Tasman region","0-4 Years","2009","Female",1430,
"Tasman region","0-4 Years","2010","Female",1430,
"Tasman region","0-4 Years","2011","Female",1420,
"Tasman region","0-4 Years","2012","Female",1390,
"Tasman region","0-4 Years","2013","Female",1380,
"Tasman region","0-4 Years","2014","Female",1340,
"Tasman region","0-4 Years","2015","Female",1290,
"Nelson region","0-4 Years","2006","Male",1330,
"Nelson region","0-4 Years","2007","Male",1380,
"Nelson region","0-4 Years","2008","Male",1480,
"Nelson region","0-4 Years","2009","Male",1540,
"Nelson region","0-4 Years","2010","Male",1560,
"Nelson region","0-4 Years","2011","Male",1600,
"Nelson region","0-4 Years","2012","Male",1620,
"Nelson region","0-4 Years","2013","Male",1570,
"Nelson region","0-4 Years","2014","Male",1540,
"Nelson region","0-4 Years","2015","Male",1510,
"Nelson region","0-4 Years","2006","Female",1260,
"Nelson region","0-4 Years","2007","Female",1320,
"Nelson region","0-4 Years","2008","Female",1390,
"Nelson region","0-4 Years","2009","Female",1410,
"Nelson region","0-4 Years","2010","Female",1470,
"Nelson region","0-4 Years","2011","Female",1490,
"Nelson region","0-4 Years","2012","Female",1450,
"Nelson region","0-4 Years","2013","Female",1430,
"Nelson region","0-4 Years","2014","Female",1440,
"Nelson region","0-4 Years","2015","Female",1380,
"Marlborough region","0-4 Years","2006","Male",1260,
"Marlborough region","0-4 Years","2007","Male",1310,
"Marlborough region","0-4 Years","2008","Male",1360,
"Marlborough region","0-4 Years","2009","Male",1380,
"Marlborough region","0-4 Years","2010","Male",1420,
"Marlborough region","0-4 Years","2011","Male",1440,
"Marlborough region","0-4 Years","2012","Male",1440,
"Marlborough region","0-4 Years","2013","Male",1370,
"Marlborough region","0-4 Years","2014","Male",1350,
"Marlborough region","0-4 Years","2015","Male",1340,
"Marlborough region","0-4 Years","2006","Female",1170,
"Marlborough region","0-4 Years","2007","Female",1180,
"Marlborough region","0-4 Years","2008","Female",1240,
"Marlborough region","0-4 Years","2009","Female",1300,
"Marlborough region","0-4 Years","2010","Female",1370,
"Marlborough region","0-4 Years","2011","Female",1390,
"Marlborough region","0-4 Years","2012","Female",1430,
"Marlborough region","0-4 Years","2013","Female",1430,
