"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Arrivals","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","70-74 years",0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,2,0,2,1,3,4
" "," ","75 years and over",3,1,1,0,1,3,1,1,3,0,1,1,0,0,1,0,1,2,3,0,0,2,1,3,3
" ","Hamilton City","0-4 years",38,51,51,75,48,65,57,43,41,38,78,73,77,76,97,89,120,82,96,102,72,78,79,91,115
" "," ","5-9 years",37,43,45,50,56,60,50,39,55,52,63,66,88,69,83,95,81,72,79,71,65,62,66,66,82
" "," ","10-14 years",35,31,37,46,43,77,71,61,53,58,73,76,97,74,85,74,68,89,80,61,55,54,65,48,69
" "," ","15-19 years",62,68,74,97,96,105,93,91,96,97,130,128,145,110,134,123,120,155,145,126,115,105,104,139,147
" "," ","20-24 years",132,122,143,162,172,178,158,127,137,133,193,204,258,225,247,274,241,276,272,258,211,221,236,251,336
" "," ","25-29 years",137,156,156,150,182,194,212,182,157,166,200,219,265,229,188,194,190,237,238,188,187,207,224,214,252
" "," ","30-34 years",72,71,93,108,120,134,123,96,89,93,130,137,181,150,120,155,144,145,162,127,120,139,123,142,174
" "," ","35-39 years",45,47,53,77,79,84,93,68,76,68,93,96,106,100,102,101,106,115,87,83,100,76,79,80,113
" "," ","40-44 years",31,25,27,50,51,66,60,61,43,45,45,71,81,61,76,77,79,63,77,61,60,57,66,62,78
" "," ","45-49 years",22,9,21,20,36,52,41,37,30,33,35,32,41,46,69,59,44,40,56,32,39,35,32,41,47
" "," ","50-54 years",10,7,12,19,17,18,20,27,24,29,28,30,33,41,37,31,28,45,32,43,32,35,27,44,44
" "," ","55-59 years",9,17,11,10,17,14,18,19,20,20,21,26,19,30,31,26,29,31,36,34,43,49,40,53,62
" "," ","60-64 years",11,3,12,14,13,10,12,16,25,15,13,20,14,17,24,16,23,23,22,31,26,31,45,48,39
" "," ","65-69 years",8,6,11,9,9,20,5,8,10,8,13,9,9,18,12,16,11,17,14,10,12,13,13,19,19
" "," ","70-74 years",4,4,6,5,5,4,5,4,10,4,7,7,6,6,2,19,3,10,3,6,11,11,8,13,9
" "," ","75 years and over",8,3,6,6,5,11,8,4,2,8,4,3,3,8,8,6,3,11,5,6,10,11,11,13,14
" ","Waipa District","0-4 years",15,11,10,18,14,18,12,12,17,12,12,18,17,19,24,11,15,13,15,18,26,24,9,15,26
" "," ","5-9 years",8,11,5,11,7,8,9,12,10,15,9,11,14,13,19,13,15,14,8,14,20,14,13,12,33
" "," ","10-14 years",2,12,14,17,9,15,10,4,5,8,9,11,16,25,14,11,11,9,18,15,13,11,15,8,20
" "," ","15-19 years",18,17,15,24,25,45,25,19,24,22,33,27,32,33,20,22,22,30,28,17,30,17,26,33,25
" "," ","20-24 years",47,40,27,36,26,44,28,36,36,33,44,37,33,39,33,29,37,38,31,26,36,34,44,43,46
" "," ","25-29 years",39,44,42,35,45,48,34,44,64,38,47,46,51,57,61,33,59,50,44,52,47,44,49,54,58
" "," ","30-34 years",21,19,23,34,26,25,24,24,24,22,22,29,30,43,36,27,34,22,26,22,31,25,26,26,32
" "," ","35-39 years",16,6,4,16,15,13,12,11,8,8,11,21,22,33,33,18,18,25,24,19,17,19,21,19,18
" "," ","40-44 years",4,5,7,8,10,13,12,6,11,9,7,9,18,21,22,20,13,16,15,13,13,10,17,17,24
" "," ","45-49 years",2,7,4,3,4,6,3,3,5,7,9,7,15,7,9,7,16,7,12,9,11,13,11,18,17
" "," ","50-54 years",4,4,6,4,4,2,4,3,5,8,4,9,13,9,14,10,5,10,5,6,9,12,8,8,17
" "," ","55-59 years",5,1,2,2,2,3,2,3,5,2,2,5,5,5,5,6,5,6,13,11,4,4,8,7,6
" "," ","60-64 years",1,4,1,3,4,2,3,4,2,2,4,5,1,5,2,4,3,0,4,7,10,7,6,9,10
" "," ","65-69 years",3,6,4,2,3,0,2,3,0,3,1,2,1,2,1,7,3,4,5,2,6,5,3,8,7
" "," ","70-74 years",1,5,1,3,0,1,3,0,0,0,0,2,0,2,2,1,0,1,2,4,1,2,2,5,5
" "," ","75 years and over",0,4,2,2,3,2,0,1,5,2,1,0,2,2,3,1,3,1,5,3,3,1,2,6,1
" ","Otorohanga District","0-4 years",2,4,3,4,1,0,2,0,1,1,3,1,2,1,2,2,2,2,0,1,0,2,2,0,1
" "," ","5-9 years",0,0,2,0,0,2,1,0,2,1,0,1,3,2,0,1,3,4,1,1,2,0,4,1,2
" "," ","10-14 years",0,1,3,1,3,0,0,1,0,0,1,3,1,3,1,0,2,0,1,2,1,0,0,1,1
" "," ","15-19 years",4,4,1,1,6,5,2,2,5,6,0,2,3,3,6,0,3,4,2,1,1,4,2,6,1
" "," ","20-24 years",11,9,9,10,6,5,4,1,1,6,6,7,1,5,4,4,1,4,9,3,2,2,3,3,3
" "," ","25-29 years",6,7,5,9,9,9,9,8,4,7,4,7,6,8,5,9,6,2,4,13,5,9,3,6,5
" "," ","30-34 years",2,5,10,5,2,3,2,4,3,1,2,4,3,2,4,3,3,3,3,2,2,4,2,0,2
" "," ","35-39 years",0,1,0,3,2,2,0,3,0,2,3,1,1,4,1,3,1,2,1,0,3,0,4,1,2
" "," ","40-44 years",1,2,2,1,1,1,1,0,1,0,0,2,1,3,0,2,3,1,3,4,1,1,1,2,3
" "," ","45-49 years",0,2,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,2,0,0,0,2
" "," ","50-54 years",0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,2,1,1,1,1,0,3,0,0,0
" "," ","55-59 years",1,0,0,1,2,1,0,0,0,0,1,0,0,1,0,1,1,3,1,1,0,0,0,0,2
" "," ","60-64 years",0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,2,1,0,0,1,0,2,0,3
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
" ","South Waikato District","0-4 years",17,5,10,6,7,6,14,7,6,8,3,6,10,5,10,10,9,9,12,8,4,8,10,9,8
" "," ","5-9 years",9,8,5,8,8,10,4,9,7,6,8,6,9,9,6,10,9,9,8,8,6,7,6,9,7
" "," ","10-14 years",5,6,5,4,6,5,8,2,4,4,0,6,6,9,4,4,4,6,3,7,2,2,2,7,5
" "," ","15-19 years",11,11,10,7,20,13,11,5,5,9,8,11,7,12,3,8,11,7,18,4,6,7,12,7,8
" "," ","20-24 years",31,24,13,11,18,11,13,15,7,7,10,11,10,11,9,11,21,10,17,6,8,9,16,19,13
" "," ","25-29 years",38,27,19,19,29,27,24,19,18,23,16,13,18,23,13,22,15,23,17,8,9,10,13,15,10
" "," ","30-34 years",13,5,12,14,18,13,14,13,10,10,9,11,13,19,16,13,13,13,13,14,11,8,6,12,10
" "," ","35-39 years",5,9,4,9,6,11,4,7,6,2,5,7,9,5,12,6,9,10,4,7,2,9,6,13,5
" "," ","40-44 years",1,5,5,3,2,0,4,2,1,4,3,3,14,5,5,4,6,2,9,1,6,4,5,5,5
" "," ","45-49 years",1,3,0,0,5,5,3,3,3,2,3,1,4,6,10,5,5,4,5,4,0,3,2,6,4
" "," ","50-54 years",3,1,5,1,2,2,5,1,2,2,3,4,5,6,2,3,4,4,4,8,4,2,4,6,7
" "," ","55-59 years",3,3,1,0,3,0,8,0,0,2,1,1,0,7,1,2,4,1,1,4,5,4,3,2,3
" "," ","60-64 years",0,0,0,1,1,0,2,2,1,0,0,1,0,0,1,3,3,2,3,0,1,3,2,6,3
" "," ","65-69 years",1,0,0,3,2,0,0,1,0,0,0,0,2,3,1,2,0,2,1,1,1,3,1,1,2
" "," ","70-74 years",0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,1,1,0,1,1,3
" "," ","75 years and over",1,1,1,1,2,1,0,0,0,1,0,1,1,1,0,0,3,2,0,0,0,1,1,0,0
" ","Waitomo District","0-4 years",3,1,0,1,10,1,5,0,0,2,4,0,2,5,4,2,3,7,4,2,2,3,2,8,7
" "," ","5-9 years",3,1,1,0,0,3,2,3,1,3,1,1,3,3,4,0,2,3,4,1,1,1,3,5,6
" "," ","10-14 years",3,0,0,4,1,0,2,3,1,1,1,0,1,2,2,3,1,2,2,4,1,0,0,3,4
" "," ","15-19 years",2,2,1,7,5,4,5,3,3,4,4,1,4,3,4,6,6,3,1,1,5,3,7,3,3
" "," ","20-24 years",8,2,8,8,10,4,7,3,3,10,3,5,7,6,4,1,5,5,4,6,5,8,1,3,9
" "," ","25-29 years",10,9,8,7,4,11,2,4,7,11,8,11,5,8,8,14,10,10,4,6,9,3,6,18,2
" "," ","30-34 years",8,2,3,5,4,2,2,2,7,1,6,2,7,8,3,5,5,5,4,3,1,4,8,4,6
" "," ","35-39 years",1,2,1,5,1,0,2,0,4,1,1,1,2,1,4,2,3,5,1,2,1,2,1,3,3
" "," ","40-44 years",0,1,1,1,2,1,4,2,1,2,2,0,1,1,4,0,2,3,0,0,2,1,2,2,1
" "," ","45-49 years",1,1,1,0,0,0,0,1,2,1,2,2,0,1,1,0,2,2,2,1,1,1,1,0,1
" "," ","50-54 years",0,0,0,1,1,0,2,0,0,0,1,0,0,0,3,1,0,1,1,1,0,1,1,1,4
" "," ","55-59 years",0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,3,0,2,1,0,0,1,0,0,5
" "," ","60-64 years",0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,2,2
" "," ","65-69 years",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
" "," ","70-74 years",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0
" "," ","75 years and over",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
" ","Taupo District","0-4 years",11,9,16,9,13,8,13,16,5,6,8,14,11,18,19,15,12,10,23,25,9,17,19,27,12
" "," ","5-9 years",7,8,13,9,9,8,8,9,6,3,5,10,11,13,15,13,14,10,4,19,11,11,9,11,10
" "," ","10-14 years",9,4,7,4,10,2,8,6,6,5,6,2,17,8,10,5,9,7,9,10,17,11,8,12,15
" "," ","15-19 years",12,8,12,14,8,10,11,9,16,16,11,11,16,10,16,12,8,12,11,17,19,15,18,14,18
" "," ","20-24 years",25,27,32,28,22,26,30,15,23,14,25,29,26,13,18,15,19,25,21,35,21,26,26,37,36
" "," ","25-29 years",35,24,38,25,24,38,37,32,30,31,40,46,44,42,34,34,41,35,41,25,24,34,36,35,39
" "," ","30-34 years",12,15,21,15,18,15,18,14,23,16,12,27,30,26,26,23,19,21,26,26,20,23,21,25,18
" "," ","35-39 years",7,14,12,19,15,12,11,6,6,4,11,15,26,19,13,23,12,18,23,16,17,18,17,16,19
" "," ","40-44 years",5,2,3,6,10,6,3,8,4,6,7,14,10,11,11,11,15,9,10,19,6,20,9,14,14
" "," ","45-49 years",3,4,2,7,9,6,7,4,1,3,4,4,6,13,13,10,7,6,7,3,10,10,8,11,9
" "," ","50-54 years",3,7,3,4,6,2,1,8,4,5,8,9,4,7,6,7,8,5,5,3,7,4,13,10,9
" "," ","55-59 years",5,2,3,1,4,4,5,0,7,4,3,4,1,3,5,5,5,7,8,9,8,7,6,8,11
" "," ","60-64 years",1,1,1,2,1,5,3,2,2,1,6,3,4,1,3,0,4,6,5,5,6,6,9,5,10
" "," ","65-69 years",1,0,3,0,1,1,0,0,0,2,2,2,1,1,1,2,0,3,0,4,5,4,7,4,5
" "," ","70-74 years",2,0,2,0,0,1,2,1,0,0,0,1,0,1,0,0,1,1,1,3,2,2,2,2,0
" "," ","75 years and over",1,0,1,0,2,2,0,2,0,1,1,0,0,3,1,3,2,0,1,0,0,0,1,2,1
" ","Western Bay of Plenty District","0-4 years",6,8,5,6,18,11,10,10,6,24,8,16,23,26,10,18,19,14,18,25,8,20,19,25,33
" "," ","5-9 years",9,5,6,7,8,8,4,10,5,9,6,11,17,9,16,17,20,15,8,21,7,7,11,13,12
" "," ","10-14 years",6,5,9,6,6,7,5,2,9,12,8,7,7,12,5,10,19,19,5,13,13,12,7,20,13
" "," ","15-19 years",11,6,10,17,5,7,7,6,12,21,16,12,9,16,25,18,18,17,17,16,20,17,25,27,25
" "," ","20-24 years",27,28,17,22,24,16,21,32,19,17,34,23,24,26,23,25,28,27,37,29,29,25,47,46,58
" "," ","25-29 years",36,31,27,21,28,32,38,35,41,35,26,36,43,52,37,45,41,40,38,42,39,34,38,57,79
" "," ","30-34 years",12,12,12,15,21,9,11,18,18,20,18,20,26,33,17,28,38,25,27,26,22,23,34,36,36
" "," ","35-39 years",8,9,5,10,9,15,10,10,12,8,13,10,15,15,25,15,27,29,12,20,15,15,12,21,20
" "," ","40-44 years",6,6,10,13,2,4,3,7,6,9,5,15,14,8,6,13,16,15,8,13,9,16,9,23,11
" "," ","45-49 years",7,1,3,4,1,4,7,5,5,4,6,8,8,5,13,15,9,9,12,11,13,8,11,12,11
" "," ","50-54 years",2,2,1,2,3,2,2,6,3,6,5,5,8,6,12,9,6,7,9,7,12,9,11,10,12
" "," ","55-59 years",3,2,1,3,0,3,3,2,5,1,6,7,9,7,9,4,5,4,15,6,5,4,6,8,23
" "," ","60-64 years",1,1,0,1,1,3,1,1,2,2,4,3,3,4,2,6,5,7,8,7,8,11,12,6,9
" "," ","65-69 years",0,1,1,0,2,0,1,1,3,4,0,0,1,2,1,3,1,6,3,2,4,5,5,8,4
" "," ","70-74 years",0,1,0,3,2,0,2,1,2,0,0,3,0,0,4,3,1,1,1,0,4,1,6,2,1
" "," ","75 years and over",1,0,1,0,1,4,2,1,3,2,2,3,3,3,1,0,0,1,0,1,0,1,2,6,3
" ","Tauranga City","0-4 years",39,30,36,28,47,53,41,29,31,22,36,55,55,52,40,47,58,64,62,57,53,53,50,84,68
" "," ","5-9 years",22,14,34,28,33,29,40,22,37,21,40,45,49,54,38,42,63,44,56,57,50,50,55,50,44
" "," ","10-14 years",24,16,36,27,37,38,20,28,17,20,33,44,54,54,42,53,40,46,50,55,38,45,39,40,54
" "," ","15-19 years",36,47,31,39,47,44,41,46,44,49,49,58,72,61,76,65,70,70,70,91,74,79,67,100,107
" "," ","20-24 years",104,93,81,90,83,103,79,75,66,80,78,101,89,96,81,92,96,131,122,98,108,96,128,120,168
" "," ","25-29 years",102,122,111,107,128,127,114,123,119,142,126,128,149,139,135,128,136,148,171,139,151,129,146,160,203
" "," ","30-34 years",51,30,57,53,68,80,59,55,68,54,65,103,111,98,106,102,92,90,86,101,90,82,96,98,105
" "," ","35-39 years",34,36,39,51,55,41,57,42,46,31,54,67,80,63,53,65,69,79,85,66,59,49,61,73,80
" "," ","40-44 years",19,18,22,23,34,35,39,18,30,36,37,52,48,51,52,58,54,53,59,46,48,44,41,58,72
" "," ","45-49 years",17,11,23,15,21,27,18,20,25,29,29,36,37,33,32,34,31,44,50,48,35,29,34,34,46
" "," ","50-54 years",17,14,10,8,12,10,17,15,16,24,24,17,30,30,28,22,28,27,29,39,31,38,35,38,44
" "," ","55-59 years",7,11,10,6,7,8,13,15,12,21,23,20,30,25,25,23,19,25,33,28,37,31,32,44,55
" "," ","60-64 years",6,3,5,8,10,6,4,11,5,5,11,13,16,11,15,13,13,23,20,26,25,30,33,43,40
" "," ","65-69 years",4,3,3,4,3,0,9,1,6,4,4,6,13,11,8,10,10,9,16,21,17,20,24,17,22
" "," ","70-74 years",2,2,2,0,6,3,3,3,3,5,3,5,1,4,5,5,8,3,11,8,6,11,11,8,13
" "," ","75 years and over",6,6,3,2,2,8,3,3,7,8,8,6,2,3,6,4,7,4,8,9,8,9,12,13,15
" ","Rotorua District","0-4 years",31,27,25,28,56,28,26,29,25,22,18,30,27,23,23,24,37,28,37,28,25,23,47,42,54
" "," ","5-9 years",22,11,24,13,21,35,28,19,19,14,25,25,28,28,20,38,17,32,25,24,18,16,23,33,35
" "," ","10-14 years",19,12,21,16,14,17,21,18,18,17,23,24,16,30,20,29,22,17,33,20,14,16,23,20,25
" "," ","15-19 years",36,26,22,25,24,32,35,35,37,40,37,53,41,31,39,40,49,42,42,49,43,45,40,33,31
" "," ","20-24 years",62,56,49,44,52,50,52,36,48,58,50,90,75,45,47,52,44,48,64,84,106,78,71,99,140
" "," ","25-29 years",71,56,68,69,84,79,87,63,66,70,86,87,80,81,53,72,68,92,72,84,94,85,87,135,215
" "," ","30-34 years",32,29,54,38,66,53,42,37,36,34,41,52,55,59,59,38,68,58,53,37,54,43,56,59,101
" "," ","35-39 years",23,14,28,16,44,35,36,20,29,25,30,38,30,32,34,41,36,36,42,34,22,27,30,35,45
" "," ","40-44 years",10,15,17,14,22,23,21,14,24,12,26,21,29,17,31,37,30,16,25,16,19,26,27,33,46
" "," ","45-49 years",7,14,8,16,12,17,10,13,8,13,15,12,12,17,13,16,11,14,18,12,19,18,10,9,18
" "," ","50-54 years",2,11,8,10,7,7,11,7,8,11,16,12,8,12,10,22,14,10,15,18,4,19,9,18,13
" "," ","55-59 years",9,5,8,4,8,4,7,7,11,9,10,9,10,12,13,9,13,6,9,9,10,15,13,11,16
" "," ","60-64 years",2,4,2,3,6,1,5,2,2,3,6,7,10,12,2,9,6,7,9,13,14,19,8,13,12
" "," ","65-69 years",5,2,2,3,3,2,4,2,3,4,6,3,1,3,5,7,6,1,5,3,6,5,7,7,5
" "," ","70-74 years",2,0,1,2,2,3,1,0,0,1,4,2,3,2,1,2,7,4,5,1,4,1,3,5,8
" "," ","75 years and over",3,3,1,4,0,2,3,3,1,4,4,1,0,8,4,3,4,4,3,5,0,5,5,5,6
" ","Whakatane District","0-4 years",13,15,14,8,16,10,7,5,4,5,17,12,9,12,14,6,4,8,12,12,10,15,14,10,25
" "," ","5-9 years",4,6,14,7,4,9,12,6,10,6,5,9,5,15,10,8,11,16,10,5,10,6,9,6,16
" "," ","10-14 years",8,6,9,8,14,15,10,6,2,12,5,5,8,10,13,13,17,16,9,9,5,6,5,9,14
" "," ","15-19 years",13,10,10,15,14,8,18,9,10,7,9,8,6,9,11,8,17,15,9,10,12,14,11,27,17
" "," ","20-24 years",32,22,21,26,18,28,16,14,16,22,22,27,20,21,16,11,19,18,17,18,13,26,18,23,22
" "," ","25-29 years",25,35,21,32,34,32,26,24,26,33,32,34,37,31,29,25,21,23,31,24,24,24,34,43,32
" "," ","30-34 years",21,18,18,23,16,15,19,17,16,14,14,21,16,23,21,17,12,18,18,11,19,13,10,16,19
" "," ","35-39 years",9,7,3,13,17,10,8,12,10,10,13,11,9,18,12,9,13,18,11,10,12,10,14,11,20
" "," ","40-44 years",4,5,14,6,9,11,7,4,7,7,6,15,9,9,15,9,11,14,6,11,3,7,4,3,8
" "," ","45-49 years",4,3,2,12,8,7,6,3,2,5,2,9,10,9,8,14,13,9,7,11,6,5,5,5,8
" "," ","50-54 years",4,2,4,4,1,2,2,4,2,3,3,3,10,4,5,8,9,5,12,9,5,8,10,9,10
" "," ","55-59 years",2,0,0,1,1,2,1,0,2,0,4,3,4,3,2,9,5,5,10,3,5,9,8,10,5
" "," ","60-64 years",1,2,3,1,0,1,3,2,0,2,2,2,2,2,4,4,3,4,3,4,7,5,3,5,6
" "," ","65-69 years",0,1,1,0,0,0,0,2,1,3,0,1,0,0,2,1,1,1,1,2,2,6,3,8,2
" "," ","70-74 years",0,0,0,0,0,3,0,0,0,2,1,0,2,2,0,2,4,0,1,0,2,1,1,3,1
" "," ","75 years and over",0,0,2,0,4,2,1,4,1,0,0,0,3,3,0,0,3,1,1,1,1,2,1,5,4
" ","Kawerau District","0-4 years",6,0,4,0,2,0,0,3,3,1,1,1,0,2,2,1,2,5,2,0,1,1,3,1,2
" "," ","5-9 years",1,1,0,4,1,0,1,3,1,2,1,3,1,0,5,2,3,3,0,0,1,1,0,5,3
" "," ","10-14 years",3,1,0,4,5,3,1,0,0,1,2,1,3,0,2,0,1,3,1,0,2,0,1,1,2
" "," ","15-19 years",2,3,2,6,2,4,2,3,5,4,3,1,4,2,3,0,1,3,3,0,1,3,4,5,2
" "," ","20-24 years",5,4,4,6,3,1,3,0,3,2,2,4,2,1,1,5,1,0,1,0,2,2,1,3,1
" "," ","25-29 years",7,6,1,6,6,3,4,6,6,3,4,5,7,8,1,6,1,4,4,2,1,3,3,5,2
" "," ","30-34 years",4,3,2,1,5,8,5,4,2,2,4,3,4,1,3,4,6,2,2,0,1,2,3,2,2
" "," ","35-39 years",4,0,1,4,4,2,1,2,0,0,3,1,1,0,5,2,1,0,0,3,2,0,1,1,2
" "," ","40-44 years",0,1,1,2,1,3,3,0,3,1,0,0,1,3,4,2,5,2,1,0,1,1,1,3,3
" "," ","45-49 years",0,1,1,1,0,2,1,0,0,2,1,0,1,1,0,2,0,2,2,2,3,1,1,2,3
" "," ","50-54 years",1,1,0,0,0,2,1,0,0,1,1,0,1,0,0,0,1,2,1,0,2,2,1,1,1
" "," ","55-59 years",0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,2,0,1,2,2
" "," ","60-64 years",1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,3,3
" "," ","65-69 years",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
" "," ","75 years and over",0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
" ","Opotiki District","0-4 years",0,1,3,0,6,2,1,2,0,1,1,0,2,3,0,3,2,3,4,3,3,3,4,0,2
" "," ","5-9 years",0,3,1,3,1,0,1,2,3,1,3,1,3,1,1,0,0,3,0,3,1,3,2,0,3
" "," ","10-14 years",2,1,2,1,0,1,0,0,2,1,0,2,1,1,2,1,0,2,2,2,2,4,0,2,1
" "," ","15-19 years",5,3,0,1,0,4,2,2,3,2,4,5,2,3,2,3,2,3,3,3,2,0,5,3,3
" "," ","20-24 years",3,3,5,6,5,3,6,1,6,2,4,3,5,5,3,2,3,7,10,1,2,2,3,6,5
" "," ","25-29 years",1,5,3,6,1,2,5,4,5,4,2,10,8,3,4,9,3,3,3,7,8,2,3,5,7
" "," ","30-34 years",1,4,3,3,3,4,6,1,6,1,2,1,7,4,3,4,5,1,3,2,6,2,4,4,5
" "," ","35-39 years",0,1,1,1,3,0,2,2,3,1,0,3,2,1,4,0,1,2,3,2,2,2,3,2,2
" "," ","40-44 years",1,1,1,4,1,0,1,0,0,0,2,0,8,1,1,1,2,3,4,2,2,2,0,2,3
" "," ","45-49 years",1,1,0,0,0,0,2,0,2,0,1,1,1,1,3,0,3,1,2,2,0,3,1,2,0
" "," ","50-54 years",1,0,0,0,0,0,1,0,2,1,2,0,0,2,0,1,1,1,1,1,0,1,2,5,1
" "," ","55-59 years",1,0,0,0,1,0,2,1,0,1,0,1,1,0,0,1,2,0,2,1,0,2,0,4,3
" "," ","60-64 years",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,1,3,3
" "," ","65-69 years",0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,2,1,0
" "," ","70-74 years",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
" "," ","75 years and over",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
" ","Gisborne District","0-4 years",13,13,16,9,13,11,14,6,5,10,5,12,7,12,8,11,14,23,8,12,14,22,6,16,21
" "," ","5-9 years",12,5,8,14,8,12,11,9,12,10,12,9,15,8,21,12,5,13,11,13,12,13,10,20,13
" "," ","10-14 years",9,4,8,12,4,7,8,6,6,7,14,9,18,9,12,14,11,9,10,17,6,11,9,12,11
" "," ","15-19 years",20,13,11,17,14,14,21,15,16,14,26,27,23,13,17,18,16,18,19,13,16,11,17,25,21
" "," ","20-24 years",47,30,22,36,35,31,25,24,21,16,28,31,20,18,25,26,24,19,24,22,18,21,25,22,34
" "," ","25-29 years",29,40,42,33,29,41,35,35,55,26,34,37,40,29,28,35,33,33,37,30,20,24,33,29,34
" "," ","30-34 years",18,17,21,22,17,26,22,21,19,16,10,19,23,24,22,27,23,19,27,21,27,28,18,24,14
" "," ","35-39 years",8,8,6,11,9,16,15,14,6,12,15,13,25,20,17,21,13,27,11,9,19,14,11,19,19
" "," ","40-44 years",4,6,8,7,6,7,12,5,5,4,9,8,16,9,16,14,16,8,9,11,5,15,11,10,16
" "," ","45-49 years",4,6,5,3,6,6,6,4,8,4,2,6,9,7,13,14,15,7,13,13,4,10,7,10,13
" "," ","50-54 years",3,3,1,8,5,2,2,5,3,1,4,5,4,8,6,8,3,6,6,14,5,6,11,11,14
" "," ","55-59 years",1,0,5,1,1,1,3,5,1,5,3,4,1,6,2,8,7,5,4,5,2,7,8,16,14
" "," ","60-64 years",1,0,1,0,1,3,2,3,3,1,2,2,2,1,3,3,3,2,3,4,4,5,6,9,6
" "," ","65-69 years",0,1,1,0,1,1,2,0,0,0,1,2,3,4,2,3,0,1,3,6,3,2,0,2,8
" "," ","70-74 years",0,0,0,4,0,1,0,1,0,2,2,0,2,1,3,1,2,2,2,0,1,1,1,0,1
" "," ","75 years and over",1,1,1,1,1,1,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,1,3,3,0
" ","Wairoa District","0-4 years",5,2,1,5,1,1,7,0,1,2,2,2,1,5,4,4,0,1,5,1,2,3,1,0,10
" "," ","5-9 years",3,0,0,1,0,0,2,0,1,2,0,1,2,0,1,1,2,0,2,0,2,5,1,0,6
" "," ","10-14 years",0,0,1,1,0,1,1,0,1,2,0,1,1,3,4,2,2,4,1,2,2,1,0,3,2
" "," ","15-19 years",1,2,3,2,1,4,1,1,0,0,3,8,2,3,2,0,1,4,2,2,3,0,3,3,2
" "," ","20-24 years",3,4,4,3,6,8,4,6,7,5,2,6,4,3,6,5,4,3,2,0,1,2,2,2,6
" "," ","25-29 years",6,5,2,4,6,11,8,8,6,2,8,2,6,4,2,4,2,2,3,1,1,6,1,2,5
" "," ","30-34 years",4,1,4,6,1,3,4,2,5,3,0,1,2,2,4,4,1,2,4,4,6,1,3,4,7
" "," ","35-39 years",1,0,0,1,6,0,3,2,0,2,0,0,0,4,2,0,3,2,1,0,2,7,0,0,7
" "," ","40-44 years",0,1,0,1,0,0,1,1,2,1,1,2,1,0,3,2,2,2,3,0,0,3,2,1,3
" "," ","45-49 years",0,1,2,0,0,0,1,0,1,1,1,0,0,0,3,2,1,0,3,0,0,1,0,0,1
" "," ","50-54 years",0,0,2,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,2,0,2
" "," ","55-59 years",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,3,0,0,1,1,1,1,0
" "," ","60-64 years",0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,2,3
" "," ","65-69 years",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
" "," ","70-74 years",1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
" "," ","75 years and over",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
