"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Departures","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","70-74 years",0,0,1,1,0,1,0,2,2,2,0,0,0,0,2,1,1,0,0,1,1,1,2,0,0
" "," ","75 years and over",1,1,1,1,0,5,1,0,2,0,0,0,0,1,1,0,1,0,0,2,1,0,1,0,0
" ","Hamilton City","0-4 years",34,43,31,44,49,48,37,57,76,99,69,43,52,69,69,71,67,115,70,81,106,108,82,61,48
" "," ","5-9 years",25,30,22,50,30,49,43,63,83,77,58,39,35,57,56,46,72,106,65,52,79,82,57,45,42
" "," ","10-14 years",33,34,22,24,24,22,37,57,73,88,57,41,50,44,69,64,69,92,61,68,62,67,63,43,29
" "," ","15-19 years",93,70,74,67,85,85,76,104,92,120,106,88,84,122,101,122,128,152,127,118,124,124,96,83,69
" "," ","20-24 years",222,197,207,204,240,244,270,271,262,327,259,196,229,225,285,286,256,299,236,265,260,266,285,226,187
" "," ","25-29 years",111,105,112,92,143,170,201,195,228,245,210,187,164,210,216,211,233,217,180,184,219,197,197,158,142
" "," ","30-34 years",47,70,68,63,50,73,70,100,112,110,108,78,74,91,86,105,108,119,81,105,113,116,98,79,82
" "," ","35-39 years",34,34,29,40,34,43,49,82,80,99,87,46,58,62,70,69,87,92,76,78,94,89,61,48,46
" "," ","40-44 years",25,27,28,28,34,42,47,53,65,68,71,57,50,48,56,50,76,83,59,64,81,66,67,44,50
" "," ","45-49 years",20,26,14,31,21,29,37,45,41,55,53,40,31,46,57,56,58,61,57,64,70,63,50,35,34
" "," ","50-54 years",15,19,19,15,15,25,22,27,31,31,41,42,28,34,37,56,48,50,53,58,56,51,49,32,29
" "," ","55-59 years",13,6,16,12,12,12,21,16,14,22,28,25,26,29,35,21,25,34,33,32,31,43,28,21,18
" "," ","60-64 years",5,8,9,16,11,19,11,9,19,12,14,12,14,11,17,9,16,13,20,15,15,24,24,11,13
" "," ","65-69 years",12,9,4,12,11,9,8,9,11,6,7,9,7,12,8,7,4,11,6,13,11,9,9,17,11
" "," ","70-74 years",5,6,7,7,6,6,3,5,4,4,3,2,8,6,4,5,4,4,9,5,4,6,5,4,3
" "," ","75 years and over",3,3,2,7,11,10,8,5,6,5,4,6,7,3,5,7,2,3,7,4,4,5,3,4,5
" ","Waipa District","0-4 years",10,8,8,11,14,9,14,18,24,18,12,5,5,17,20,11,18,26,10,7,21,29,13,10,8
" "," ","5-9 years",10,4,8,6,12,10,11,18,19,17,12,7,9,14,8,17,16,16,11,16,20,30,10,11,10
" "," ","10-14 years",9,2,6,8,10,12,9,12,19,12,15,18,17,13,12,10,16,11,17,14,16,16,15,15,8
" "," ","15-19 years",21,25,23,22,29,24,33,30,23,30,27,33,14,30,38,29,37,44,36,38,34,42,37,28,33
" "," ","20-24 years",59,65,50,66,76,69,93,82,96,88,65,64,58,62,66,54,50,75,49,56,78,104,70,64,54
" "," ","25-29 years",30,21,21,23,42,40,41,43,64,53,48,46,39,47,52,47,57,50,36,62,63,46,53,36,35
" "," ","30-34 years",9,10,12,11,13,17,21,19,21,24,30,20,19,24,30,26,15,25,19,27,25,32,21,13,9
" "," ","35-39 years",3,7,9,10,11,9,22,14,17,24,18,16,13,15,19,11,25,16,23,15,25,15,15,6,15
" "," ","40-44 years",2,5,7,9,9,11,8,12,13,5,17,5,12,11,22,18,18,23,12,18,21,25,15,20,4
" "," ","45-49 years",3,5,10,2,9,9,4,7,7,15,9,11,10,11,18,11,17,11,16,16,25,18,15,14,11
" "," ","50-54 years",1,2,2,4,5,9,3,11,3,5,9,11,4,10,11,9,13,12,9,13,18,11,12,10,4
" "," ","55-59 years",0,2,3,2,0,0,3,3,2,5,6,6,4,6,9,6,7,12,10,14,11,8,9,5,8
" "," ","60-64 years",2,4,1,2,2,3,2,1,2,3,2,2,2,1,4,2,7,5,5,3,6,4,7,7,4
" "," ","65-69 years",4,8,0,0,1,3,0,1,7,1,0,1,1,0,2,2,2,1,1,0,4,2,1,3,1
" "," ","70-74 years",1,2,1,2,2,2,4,0,1,2,0,0,2,2,1,1,3,1,0,0,2,2,2,4,0
" "," ","75 years and over",2,0,1,1,3,5,3,1,0,2,1,1,0,3,1,0,2,0,3,4,1,2,2,0,1
" ","Otorohanga District","0-4 years",0,4,2,2,1,6,0,3,5,0,0,0,0,1,2,2,0,3,0,0,9,4,4,3,3
" "," ","5-9 years",0,2,0,1,0,3,0,0,4,1,1,1,0,0,1,6,0,2,0,2,5,2,2,2,0
" "," ","10-14 years",0,1,0,1,0,0,0,1,4,1,3,1,0,1,1,1,0,4,0,3,3,2,1,0,0
" "," ","15-19 years",3,6,4,3,3,3,3,2,3,3,2,3,3,2,3,3,3,8,4,5,8,11,7,2,7
" "," ","20-24 years",14,11,6,16,12,8,8,13,16,10,7,10,3,10,6,4,17,7,5,8,16,11,8,5,12
" "," ","25-29 years",2,4,5,4,7,4,10,3,10,8,9,2,4,6,4,3,2,6,4,8,8,18,8,2,2
" "," ","30-34 years",1,3,0,1,0,3,2,1,4,2,5,1,1,1,2,5,2,0,2,1,4,3,3,1,3
" "," ","35-39 years",2,1,0,1,0,1,1,1,1,0,2,0,1,0,2,1,0,1,1,2,1,2,3,1,2
" "," ","40-44 years",0,0,0,1,0,0,0,0,3,4,2,1,0,0,0,2,0,3,1,2,3,6,1,0,1
" "," ","45-49 years",1,2,2,1,0,1,1,0,3,1,0,1,1,0,0,0,1,3,2,5,0,2,1,1,0
" "," ","50-54 years",1,1,0,0,0,0,0,1,1,0,3,0,1,0,0,3,1,2,2,1,1,3,1,0,1
" "," ","55-59 years",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,3,1,3,0,0,1
" "," ","60-64 years",0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,1,0,0,0,1,1,1,0,0,0
" "," ","65-69 years",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","South Waikato District","0-4 years",12,10,5,6,10,13,5,20,8,6,5,3,7,9,9,15,21,17,12,8,19,21,12,5,6
" "," ","5-9 years",10,8,5,4,15,9,3,12,17,12,14,14,9,11,15,14,9,13,8,5,15,18,4,2,7
" "," ","10-14 years",14,4,5,3,9,6,9,10,14,16,19,16,9,5,14,11,11,15,7,9,14,14,12,3,5
" "," ","15-19 years",19,14,12,25,6,13,7,17,16,26,18,14,20,21,25,18,25,25,17,18,17,37,14,8,9
" "," ","20-24 years",35,35,35,26,26,32,31,26,33,32,31,22,27,29,41,27,29,32,20,27,30,46,26,29,25
" "," ","25-29 years",15,17,10,23,16,24,19,23,23,36,23,21,23,11,30,29,20,25,10,12,18,28,21,14,11
" "," ","30-34 years",13,7,5,7,16,5,10,17,11,13,17,10,10,7,16,13,7,23,9,11,12,16,10,4,3
" "," ","35-39 years",13,4,3,3,7,10,9,7,16,8,8,5,8,6,14,7,15,10,3,11,8,8,7,4,8
" "," ","40-44 years",7,1,2,2,3,5,2,4,5,6,5,5,7,9,5,9,8,14,7,6,11,5,6,4,3
" "," ","45-49 years",6,1,3,4,2,5,6,4,3,3,5,8,1,9,5,11,4,10,3,7,5,9,2,3,4
" "," ","50-54 years",3,2,3,2,3,1,3,4,4,5,1,3,2,1,6,2,7,7,6,5,3,8,3,4,1
" "," ","55-59 years",3,0,2,3,0,1,5,5,0,1,6,0,1,1,4,1,2,7,0,2,2,7,3,4,3
" "," ","60-64 years",0,4,3,0,1,1,2,2,1,2,2,0,1,1,2,3,1,4,2,2,0,4,3,1,3
" "," ","65-69 years",2,0,2,3,1,2,0,2,1,2,2,4,1,0,2,2,1,0,1,0,0,4,0,0,0
" "," ","70-74 years",0,0,1,0,3,2,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
" "," ","75 years and over",1,0,0,2,1,0,0,1,1,2,1,0,0,2,1,1,2,0,0,1,0,1,0,1,2
" ","Waitomo District","0-4 years",0,1,4,3,0,3,3,1,4,3,1,1,0,0,2,14,4,2,4,4,3,6,1,5,1
" "," ","5-9 years",3,1,2,1,3,3,1,0,4,8,2,3,2,0,1,4,6,4,2,3,2,1,7,4,0
" "," ","10-14 years",2,0,2,1,4,2,2,1,4,4,1,2,2,3,3,4,5,4,3,1,1,4,4,2,4
" "," ","15-19 years",3,2,5,5,7,9,3,4,5,7,3,5,5,5,9,9,12,4,8,6,6,8,7,3,4
" "," ","20-24 years",11,10,6,13,11,6,13,7,22,13,15,10,8,12,10,15,14,16,7,5,13,20,14,11,7
" "," ","25-29 years",4,3,4,3,9,5,6,7,11,8,12,10,6,6,5,14,5,11,8,7,9,6,6,6,9
" "," ","30-34 years",0,2,2,2,1,4,6,1,5,9,2,2,1,5,6,5,5,5,3,6,4,5,0,1,2
" "," ","35-39 years",4,1,4,2,4,3,3,3,2,1,1,3,0,0,2,6,8,7,1,2,4,3,5,2,0
" "," ","40-44 years",0,0,1,1,2,1,0,0,6,2,1,2,3,1,1,4,4,3,2,1,0,2,0,2,1
" "," ","45-49 years",1,0,2,0,0,2,0,1,1,0,3,1,0,1,1,1,3,3,5,1,2,8,1,2,1
" "," ","50-54 years",0,0,1,0,3,1,0,2,2,2,0,3,2,1,2,2,1,0,1,1,2,2,2,1,1
" "," ","55-59 years",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,3,3,1,1,3,2,1,3,1
" "," ","60-64 years",0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,1,1
" "," ","65-69 years",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
" "," ","70-74 years",0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
" ","Taupo District","0-4 years",4,8,11,8,8,1,15,11,11,3,17,8,13,15,18,17,19,30,27,8,31,19,18,11,12
" "," ","5-9 years",5,3,7,9,11,4,15,9,20,12,7,7,9,15,16,14,22,26,14,12,23,12,14,9,9
" "," ","10-14 years",4,4,6,10,7,7,6,21,15,22,8,9,3,8,14,13,14,25,13,13,17,13,8,11,10
" "," ","15-19 years",21,17,21,21,17,23,24,32,19,29,26,19,18,29,20,26,29,40,26,19,34,32,33,19,18
" "," ","20-24 years",45,30,21,39,55,41,44,41,50,61,44,47,38,46,56,54,49,68,52,48,59,61,46,34,30
" "," ","25-29 years",20,14,19,27,18,28,21,42,31,57,51,31,31,25,37,34,33,33,38,39,49,35,34,18,36
" "," ","30-34 years",6,14,12,10,15,11,13,15,28,16,20,14,8,15,24,22,22,23,25,23,27,19,19,15,7
" "," ","35-39 years",2,8,5,9,10,13,16,15,15,20,3,16,3,17,11,11,18,27,13,14,17,16,14,9,10
" "," ","40-44 years",3,7,5,3,11,9,7,10,7,20,9,7,6,12,7,16,20,18,6,10,20,21,11,4,13
" "," ","45-49 years",3,5,2,8,1,10,9,11,10,11,11,10,8,7,7,8,21,15,10,15,13,18,15,8,7
" "," ","50-54 years",6,6,4,4,5,6,3,5,10,7,8,4,6,6,5,8,7,12,6,7,22,10,11,11,7
" "," ","55-59 years",4,1,3,2,3,4,2,1,5,3,3,1,3,11,9,6,7,11,6,7,8,10,6,4,3
" "," ","60-64 years",0,4,2,1,4,3,5,2,3,2,2,0,1,1,6,5,1,5,5,5,6,2,2,3,4
" "," ","65-69 years",0,1,3,2,2,4,2,1,2,1,1,2,0,0,0,4,0,2,2,0,2,1,1,0,0
" "," ","70-74 years",2,1,1,3,1,1,1,0,1,2,0,1,2,0,1,1,1,0,1,1,0,2,0,0,0
" "," ","75 years and over",1,1,0,1,2,1,2,2,3,3,2,0,1,2,0,2,0,0,0,0,1,2,2,1,0
" ","Western Bay of Plenty District","0-4 years",5,6,9,6,6,8,6,16,24,15,18,10,15,11,23,17,21,26,12,19,38,17,9,11,10
" "," ","5-9 years",10,8,9,4,7,5,12,17,18,14,10,19,4,10,9,25,16,20,14,10,19,25,14,15,10
" "," ","10-14 years",8,9,2,6,6,6,10,12,10,12,10,8,1,7,7,12,12,24,14,15,19,19,16,11,6
" "," ","15-19 years",19,15,12,17,18,15,11,29,13,21,18,16,19,31,36,31,37,40,27,28,33,40,39,25,25
" "," ","20-24 years",36,41,36,28,31,39,41,45,54,59,64,48,43,53,53,43,64,66,42,67,75,71,62,64,56
" "," ","25-29 years",14,19,17,29,23,22,33,26,40,45,38,33,41,40,30,38,42,62,44,58,55,56,43,56,68
" "," ","30-34 years",9,7,1,10,9,11,15,16,11,27,22,16,15,21,22,25,22,30,20,20,34,32,25,17,14
" "," ","35-39 years",11,8,7,7,8,11,10,20,16,9,18,11,12,7,16,18,13,26,16,10,25,16,9,12,9
" "," ","40-44 years",4,4,2,6,9,8,7,11,11,11,11,9,6,16,7,15,20,20,10,18,20,27,16,8,6
" "," ","45-49 years",4,2,1,8,4,2,5,5,8,8,7,6,7,13,6,14,20,19,7,14,16,16,11,7,4
" "," ","50-54 years",2,2,2,3,6,5,3,5,7,6,8,6,7,14,6,9,14,22,10,10,14,17,10,10,8
" "," ","55-59 years",2,2,1,0,2,2,1,5,5,3,3,7,3,10,8,5,12,11,9,11,14,11,11,7,7
" "," ","60-64 years",1,1,0,3,6,4,9,3,1,2,0,1,0,1,9,0,6,7,6,5,5,5,1,1,2
" "," ","65-69 years",2,1,1,1,3,4,4,2,2,3,7,0,0,1,3,1,2,1,1,3,3,4,1,5,1
" "," ","70-74 years",0,1,1,1,2,2,1,0,3,0,0,0,1,0,1,1,2,2,1,0,2,0,3,2,2
" "," ","75 years and over",0,2,0,1,0,2,0,1,0,2,2,1,0,2,2,1,1,3,1,2,1,2,2,2,3
" ","Tauranga City","0-4 years",19,23,26,20,16,20,27,30,53,39,42,37,32,35,61,44,57,75,48,51,85,60,48,26,33
" "," ","5-9 years",20,18,19,19,21,31,27,39,49,49,32,28,29,43,47,42,51,64,34,47,67,55,56,27,24
" "," ","10-14 years",18,10,19,13,18,17,25,37,22,45,29,28,45,57,44,46,40,56,40,57,59,65,58,34,14
" "," ","15-19 years",52,50,55,56,65,71,69,83,81,110,77,50,87,84,98,98,108,126,83,102,134,137,107,88,70
" "," ","20-24 years",137,130,153,149,136,151,150,158,160,206,192,169,164,163,156,182,190,220,145,186,265,235,197,172,136
" "," ","25-29 years",62,65,69,79,64,99,111,132,131,150,150,138,101,126,144,118,152,190,124,154,183,199,151,123,130
" "," ","30-34 years",32,33,31,33,33,28,40,54,62,71,77,51,50,66,76,68,76,91,63,80,101,74,68,45,41
" "," ","35-39 years",21,21,19,21,27,28,31,43,57,68,45,53,38,54,49,49,62,63,63,62,72,72,57,27,33
" "," ","40-44 years",19,22,26,25,21,27,26,35,53,45,47,25,60,41,47,48,59,53,47,47,72,76,52,37,35
" "," ","45-49 years",16,20,16,24,17,24,25,26,35,42,55,36,34,39,32,47,54,58,44,47,61,72,47,41,31
" "," ","50-54 years",14,17,14,18,15,22,28,25,29,32,39,25,23,26,42,50,56,51,36,53,63,63,50,42,33
" "," ","55-59 years",8,8,11,11,13,16,17,11,19,16,22,21,12,28,28,14,28,43,17,31,30,44,31,27,11
" "," ","60-64 years",5,8,4,3,11,10,12,8,16,12,7,15,11,7,19,18,19,15,13,16,21,21,16,13,17
" "," ","65-69 years",5,5,3,11,13,6,14,8,12,8,1,4,5,6,7,8,5,5,5,9,8,7,8,6,10
" "," ","70-74 years",2,2,6,5,8,13,7,7,9,7,3,2,1,5,3,2,4,4,2,1,10,4,5,5,5
" "," ","75 years and over",10,4,9,9,11,16,13,5,10,6,9,8,5,9,11,5,6,3,7,7,9,8,8,2,5
" ","Rotorua District","0-4 years",24,34,25,28,27,26,37,32,53,31,33,28,25,31,41,48,48,52,39,38,49,50,42,22,29
" "," ","5-9 years",14,18,26,34,30,21,25,42,34,34,25,14,24,34,32,41,38,57,24,26,39,55,30,31,35
" "," ","10-14 years",9,15,15,18,30,20,23,32,27,33,30,20,27,30,50,31,46,66,37,40,44,45,33,21,18
" "," ","15-19 years",48,41,35,48,47,32,41,48,59,51,44,46,44,79,103,71,78,75,76,69,69,103,69,55,38
" "," ","20-24 years",75,76,66,86,94,83,108,112,98,103,90,74,96,103,104,115,102,98,85,86,96,134,96,70,89
" "," ","25-29 years",38,63,46,59,59,76,59,81,93,96,72,96,75,83,98,68,83,88,67,66,81,78,70,60,63
" "," ","30-34 years",23,22,31,30,23,25,48,34,56,61,44,38,32,44,55,45,57,69,41,42,49,59,33,31,32
" "," ","35-39 years",12,15,18,18,23,14,31,41,36,43,27,20,26,28,53,51,54,48,37,27,41,34,32,24,23
" "," ","40-44 years",11,20,8,17,15,14,13,31,18,24,20,16,23,30,52,28,49,35,26,37,36,30,20,19,16
" "," ","45-49 years",8,13,13,9,9,14,13,21,14,19,16,15,18,18,22,28,29,39,24,19,30,31,24,21,19
" "," ","50-54 years",6,10,9,12,8,9,16,14,16,16,9,11,22,22,26,25,17,32,15,23,23,31,16,20,19
" "," ","55-59 years",5,6,7,4,4,10,10,5,11,5,7,9,13,5,14,10,17,11,6,18,14,26,18,3,14
" "," ","60-64 years",4,7,5,2,7,4,7,5,5,11,4,4,3,6,8,5,7,7,10,8,9,13,6,7,4
" "," ","65-69 years",1,4,4,7,2,3,9,7,5,2,3,5,6,2,5,3,2,4,3,4,3,3,6,3,4
" "," ","70-74 years",1,1,4,4,1,0,1,3,2,5,0,3,4,1,1,2,0,1,1,1,2,3,2,2,2
" "," ","75 years and over",0,3,4,5,5,3,4,4,4,1,0,2,2,4,2,2,5,5,1,3,2,2,1,1,4
" ","Whakatane District","0-4 years",10,10,7,2,6,12,7,9,9,12,7,15,11,20,11,17,16,17,8,9,21,30,16,12,7
" "," ","5-9 years",9,7,10,6,12,5,11,11,14,13,12,8,9,15,14,17,16,26,17,16,21,16,19,11,10
" "," ","10-14 years",2,6,9,5,6,6,9,14,17,12,9,6,9,18,15,20,13,20,13,11,19,27,12,17,5
" "," ","15-19 years",26,20,22,15,15,23,17,29,20,29,16,15,28,21,38,36,31,38,23,32,34,43,39,22,31
" "," ","20-24 years",37,40,41,46,43,32,24,61,51,48,43,39,47,45,49,47,41,54,30,52,55,60,50,30,33
" "," ","25-29 years",16,15,13,13,11,20,26,32,27,43,52,25,20,43,41,31,36,38,29,23,28,36,33,21,16
" "," ","30-34 years",10,10,12,8,9,7,11,19,11,16,18,18,12,20,14,16,18,18,11,18,24,22,13,14,7
" "," ","35-39 years",7,4,5,4,8,12,10,13,19,14,12,10,8,11,15,20,18,16,18,15,13,18,21,10,8
" "," ","40-44 years",2,9,4,1,9,8,9,10,6,9,15,7,7,8,12,17,16,17,14,5,14,17,11,10,6
" "," ","45-49 years",5,3,4,8,7,5,6,4,6,5,5,4,4,4,12,9,18,19,14,10,11,19,10,4,8
" "," ","50-54 years",2,4,2,4,4,5,4,5,9,5,2,5,9,10,10,10,15,15,9,12,7,19,10,6,4
" "," ","55-59 years",1,1,1,2,1,4,2,6,0,5,1,2,3,6,8,5,8,6,3,10,8,5,4,10,5
" "," ","60-64 years",0,1,1,1,0,2,5,3,1,5,1,1,3,2,1,0,1,3,2,3,10,5,2,1,3
" "," ","65-69 years",0,1,0,1,0,1,2,3,1,0,1,1,1,0,0,1,2,0,0,0,1,1,3,1,1
" "," ","70-74 years",0,2,0,2,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1
" "," ","75 years and over",0,0,1,2,1,2,3,2,2,0,1,2,0,0,0,0,0,2,1,0,2,0,1,1,0
" ","Kawerau District","0-4 years",0,3,1,2,5,4,3,6,4,3,0,5,4,5,4,1,6,6,6,6,2,7,6,6,2
" "," ","5-9 years",2,2,2,3,2,0,3,2,5,2,1,2,2,1,1,1,9,4,4,2,0,6,9,0,1
" "," ","10-14 years",1,1,1,4,2,2,0,3,2,4,5,8,0,3,6,5,5,7,4,3,3,3,4,3,2
" "," ","15-19 years",6,4,5,7,8,5,7,9,14,8,9,7,1,4,3,8,8,14,12,7,12,10,12,7,5
" "," ","20-24 years",4,5,7,8,12,8,6,12,7,14,7,8,6,2,5,7,7,3,7,7,10,14,11,4,6
" "," ","25-29 years",3,4,0,1,5,4,4,4,6,6,5,6,2,3,8,4,4,8,4,3,2,9,10,6,4
" "," ","30-34 years",2,0,2,1,3,1,0,6,6,4,3,2,3,3,3,8,10,6,0,2,4,3,2,3,1
" "," ","35-39 years",0,3,3,4,3,1,2,3,2,2,2,2,3,1,5,3,4,5,3,2,2,2,1,1,1
" "," ","40-44 years",1,1,2,2,2,1,1,1,3,2,2,4,3,3,5,2,3,6,4,1,3,2,2,3,2
" "," ","45-49 years",0,1,3,1,5,0,1,2,3,0,1,1,0,5,1,5,3,3,1,1,1,9,2,3,3
" "," ","50-54 years",1,0,1,1,1,1,2,1,0,0,1,2,0,5,0,2,1,2,1,0,2,6,7,0,4
" "," ","55-59 years",0,2,0,0,0,0,1,0,2,1,0,1,0,2,1,2,2,0,1,0,1,1,2,2,1
" "," ","60-64 years",0,0,1,2,1,0,1,0,1,0,1,0,0,0,1,1,2,1,1,1,0,1,1,0,0
" "," ","65-69 years",1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
" "," ","75 years and over",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Opotiki District","0-4 years",3,1,2,1,4,2,7,1,7,9,4,6,2,1,3,5,2,3,2,3,5,5,4,1,0
" "," ","5-9 years",2,2,2,2,1,0,3,5,6,3,4,3,6,3,3,3,1,5,0,2,2,4,7,5,1
" "," ","10-14 years",3,6,2,0,3,2,3,1,6,4,3,1,1,2,3,3,3,9,4,0,6,1,2,3,3
" "," ","15-19 years",3,2,1,4,3,5,7,3,8,9,4,6,7,10,12,5,10,18,8,8,17,13,9,7,11
" "," ","20-24 years",4,2,6,2,4,7,4,10,5,12,13,10,9,7,16,12,8,17,6,7,8,15,8,14,5
" "," ","25-29 years",1,6,4,5,2,3,6,8,6,7,10,3,8,12,7,3,4,4,3,9,3,7,13,7,4
" "," ","30-34 years",1,5,0,1,3,1,3,3,6,8,6,2,2,3,4,6,1,3,7,6,4,5,8,3,4
" "," ","35-39 years",4,1,3,1,2,1,6,2,2,6,2,3,2,2,4,3,5,8,0,6,1,4,2,2,4
" "," ","40-44 years",1,0,1,0,0,1,1,1,2,4,2,1,2,3,4,4,1,2,2,1,3,4,4,5,8
" "," ","45-49 years",1,0,1,0,2,1,0,1,3,2,1,0,1,0,4,6,2,2,5,1,2,8,2,1,1
" "," ","50-54 years",1,0,0,2,0,0,0,3,0,1,1,0,1,0,2,0,0,4,2,0,5,2,1,0,1
" "," ","55-59 years",1,0,0,0,1,0,1,2,0,0,0,0,1,1,0,1,1,0,1,1,0,2,2,0,1
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,0,1
" "," ","65-69 years",0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,3,1,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
" "," ","75 years and over",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
" ","Gisborne District","0-4 years",10,3,12,2,13,18,17,12,12,22,17,11,9,11,17,18,17,32,15,29,34,36,19,15,9
" "," ","5-9 years",5,14,10,5,14,15,6,15,15,18,16,8,9,17,14,19,14,26,14,19,25,24,16,8,13
" "," ","10-14 years",5,12,5,9,10,13,14,14,9,19,18,12,5,18,22,15,20,33,20,32,18,29,25,14,12
" "," ","15-19 years",17,22,15,20,19,20,30,29,29,21,42,28,25,29,26,33,46,57,28,25,46,47,53,45,34
" "," ","20-24 years",36,43,43,56,60,56,50,47,37,64,50,52,35,55,48,54,50,66,54,50,77,73,62,60,48
" "," ","25-29 years",28,31,23,19,29,32,43,50,46,71,45,46,36,41,43,37,63,58,41,50,57,54,39,43,32
" "," ","30-34 years",11,14,5,9,16,26,22,26,19,29,25,10,18,20,16,13,13,31,13,20,26,29,25,18,16
" "," ","35-39 years",8,6,7,7,9,10,16,10,10,19,11,6,6,12,24,20,11,18,16,19,18,18,20,13,10
" "," ","40-44 years",0,4,3,7,6,6,5,16,19,11,14,12,7,13,13,16,17,16,9,17,11,17,18,6,9
" "," ","45-49 years",4,3,2,4,5,3,9,8,8,11,11,3,6,8,12,13,11,29,10,22,21,15,15,8,12
" "," ","50-54 years",3,3,4,3,4,4,6,7,4,7,9,5,4,7,18,5,7,25,10,6,9,21,22,9,7
" "," ","55-59 years",2,2,3,0,4,3,4,0,2,5,4,1,5,3,4,4,6,11,6,4,14,9,13,9,5
" "," ","60-64 years",1,1,0,2,1,1,5,2,3,3,0,1,2,3,1,0,5,5,6,5,7,6,3,3,3
" "," ","65-69 years",1,2,0,0,1,2,0,1,2,0,1,2,0,1,0,0,0,0,1,2,2,4,1,1,4
" "," ","70-74 years",1,0,2,2,1,0,1,3,2,1,0,1,1,1,2,1,1,0,0,0,0,0,1,0,1
" "," ","75 years and over",0,1,0,3,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,2,1,0
" ","Wairoa District","0-4 years",0,3,4,3,2,4,0,6,1,7,1,0,1,4,2,2,4,7,4,3,4,10,4,1,6
" "," ","5-9 years",2,0,0,3,1,4,1,5,3,6,1,0,2,4,2,5,4,6,1,3,1,6,5,4,4
" "," ","10-14 years",2,0,1,2,1,2,0,1,2,6,1,0,1,7,2,3,4,4,7,1,6,8,2,4,3
" "," ","15-19 years",5,5,5,3,6,7,7,3,3,5,4,2,3,8,6,11,9,9,8,1,5,9,8,3,2
" "," ","20-24 years",4,10,3,12,13,16,15,3,7,8,6,6,3,9,6,9,8,10,4,8,6,11,8,4,7
" "," ","25-29 years",5,2,4,6,2,5,4,5,5,7,6,6,3,8,5,5,8,11,6,3,10,6,5,4,5
" "," ","30-34 years",2,1,1,3,1,6,1,2,3,3,4,0,3,3,2,4,4,4,2,3,3,7,5,3,2
" "," ","35-39 years",1,1,1,3,1,0,1,1,1,6,2,0,1,2,4,2,3,2,3,2,4,4,3,2,5
" "," ","40-44 years",1,0,0,1,1,1,1,2,2,3,0,1,2,3,1,2,3,2,1,2,5,5,3,1,0
" "," ","45-49 years",2,3,1,1,0,0,1,2,1,0,0,0,1,2,0,0,2,8,2,1,3,5,1,1,2
" "," ","50-54 years",0,0,0,0,1,0,2,2,0,3,0,0,0,1,1,1,3,4,3,0,3,3,1,4,1
" "," ","55-59 years",0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0
" "," ","60-64 years",0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,3,0,2,1
" "," ","65-69 years",0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
" "," ","70-74 years",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
" "," ","75 years and over",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
